GeneA	GeneB	Digene_Score
AIM2	PYDC5	0.9687
BECN2	VMP1	0.9687
POLR2E	U2AF1L5	0.9687
POLR2L	U2AF1L5	0.9687
ANAPC16	SEM1	0.9686
FIP1L1	U2AF1L5	0.9686
SNRPF	U2AF1L5	0.9686
SYMPK	U2AF1L5	0.9686
CTNNB1	SEM1	0.9685
ELOC	GTF2F1	0.9685
POLR2C	U2AF1L5	0.9685
PSMC1	SEM1	0.9685
AQR	U2AF1L5	0.9684
POLR2J	U2AF1L5	0.9684
PRPF8	U2AF1L5	0.9684
RBX1	SEM1	0.9684
U2AF1L5	YBX1	0.9684
PPIL1	U2AF1L5	0.9683
SNRPC	U2AF1L5	0.9683
PRPF6	U2AF1L5	0.9682
RBM8A	RPS4Y1	0.9682
RPS4Y1	SRP19	0.9682
EIF2S3B	EIF4A1	0.9681
ELOC	UBXN7	0.9681
PRPF3	U2AF1L5	0.9681
PRPF31	U2AF1L5	0.9681
FCGR2C	LILRA1	0.968
PRPF38A	U2AF1L5	0.9679
SF1	U2AF1L5	0.9679
SNW1	U2AF1L5	0.9679
ANAPC5	SEM1	0.9678
CCL3L1	CCR3	0.9678
EIF2S2	EIF2S3B	0.9678
RBMY1A1	TRA2B	0.9678
RPS4Y1	TRAM1	0.9678
SF3A1	U2AF1L5	0.9678
SF3A2	U2AF1L5	0.9678
SF3A3	U2AF1L5	0.9678
SF3B1	U2AF1L5	0.9678
SF3B2	U2AF1L5	0.9678
SNRPA1	U2AF1L5	0.9678
DAZ2	DAZL	0.9677
FCGR2C	LILRA3	0.9676
GPKOW	U2AF1L5	0.9676
KIR2DS5	MR1	0.9675
PSMD9	SEM1	0.9674
CDK12	ELOC	0.9673
GTF2F2	U2AF1L5	0.9672
RPS4Y1	SMG9	0.9672
BECN2	PIK3C3	0.9671
CAPN1	CASP12	0.9671
EIF3M	RPS4Y1	0.9671
HLA-E	KIR3DS1	0.9671
BCL2	BECN2	0.967
SNRNP27	U2AF1L5	0.967
FCGR2C	PRKCB	0.9669
HLA-B	KIR2DS3	0.9669
RPS4Y1	SSR4	0.9669
RPS4Y1	SEC61B	0.9668
ELOC	SOCS3	0.9667
FCGR2C	LILRA2	0.9667
HLA-A	KIR2DL2	0.9667
MAGOHB	RPS4Y1	0.9667
BCL2L1	BECN2	0.9666
ELOC	EPAS1	0.9666
B3GNT6	MUC3B	0.9665
COPS2	ELOC	0.9665
GNB1	OR4E1	0.9665
GNG7	OR4E1	0.9665
GNGT1	OR4E1	0.9665
A4GNT	MUC3B	0.9664
HLA-DRB3	PAG1	0.9664
SNRNP70	U2AF1L5	0.9664
HLA-B	KIR2DL2	0.9663
PSMC4	SEM1	0.9663
ELOC	SSRP1	0.9662
RBM5	U2AF1L5	0.9662
GALNT1	MUC2	0.9661
NGRN	RCC1L	0.9661
CD74	HLA-DRB3	0.966
ELOC	SOCS6	0.966
